id,classification,subClassification,length,width,thickness,diameter,weight,quantity,broadperiod,fromdate,todate,district
522443,,,28,18,3,2.2,,1,BRONZE AGE,-2150,-1500,Derbyshire Dales
179174,,,55.2,11,2,4.5,6.1,1,MEDIEVAL,,,Wirral
233283,Barbed and Tanged,,45.26,25.04,5.11,4.58,2.78,1,BRONZE AGE,-2150,-1500,Huntingdonshire
199204,,,100.3,7.6,6.7,5.1,16.69,1,MEDIEVAL,1250,1499,
106547,,,39,11,,6,4.76,1,BRONZE AGE,-2150,-800,Charnwood
45059,,,55.58,15.58,3.54,6.82,5.27,1,MEDIEVAL,1066,1350,Milton Keynes
508485,,,39.17,12.58,3.47,6.96,,1,MEDIEVAL,1066,1400,West Oxfordshire
646649,,,49,19,6.5,7.5,9.81,1,MEDIEVAL,1200,1300,South Lakeland
401936,,,28,15,1,8,3.75,1,MEDIEVAL,1066,1500,Wyre
133638,,,56,18,,8,,1,MEDIEVAL,1200,1499,East Lindsey
507514,,,56.67,18.7,,8.16,7.1,1,MEDIEVAL,,,West Oxfordshire
702086,,,59.9,14.75,4.18,8.36,7.99,1,MEDIEVAL,1200,1400,City and County of the City of London
48608,,,85.7,17.1,,8.5,12.6,1,MEDIEVAL,1100,1400,the Vale of Glamorgan
508480,,,61.36,22.62,,8.78,12,1,MEDIEVAL,1066,1400,West Oxfordshire
401923,,,46.5,15,2,8.8,7.75,1,MEDIEVAL,1066,1500,Harrogate
787673,,,49.8,13,,9,8.1,1,MEDIEVAL,1200,1270,West Oxfordshire
577868,,,49.63,18.09,11.05,9.96,14.39,1,BRONZE AGE,-1600,-801,St. Edmundsbury
725185,,,23.4,,,10,2.5,1,MEDIEVAL,1100,1450,West Oxfordshire
106370,,,56.72,30.17,8.85,10.14,13.26,1,MEDIEVAL,1000,1300,Basingstoke and Deane
631885,Bodkin,,57,,7.5,10.8,9.29,1,MEDIEVAL,1200,1350,West Lindsey
116474,,,77,20,1,11,,1,MEDIEVAL,1200,1499,East Lindsey
192204,,,42,,,11,7.11,1,MEDIEVAL,1100,1500,Wiltshire
276637,Bullet-headed,,39.15,11.08,,11.08,5.37,1,MEDIEVAL,1066,1500,Wiltshire
762635,,,47.91,12.52,7.81,11.54,6.11,1,MEDIEVAL,,,City and County of the City of London
553124,,,36.59,9.96,,11.6,3.75,1,MEDIEVAL,1100,1500,Babergh
717965,,,60.2,28.2,,11.6,12.76,1,MEDIEVAL,1200,1400,Winchester
212082,,,79.7,30.7,,11.7,20.08,1,MEDIEVAL,1066,1400,Stratford-on-Avon
761121,,,69.8,48.3,4.1,12.1,17.3,1,MEDIEVAL,1100,1500,Winchester
110610,Broadhead,Jessop H3,50.1,41.2,3.7,12.5,18,1,MEDIEVAL,1250,,East Northamptonshire
6770,,,56.08,,,12.66,16.1,1,MEDIEVAL,1066,1540,East Northamptonshire
418254,,,62.16,39,,14.65,15.2,1,MEDIEVAL,1000,1550,West Oxfordshire
145562,,,49,18,,31,14.59,1,MEDIEVAL,1066,1800,Broadland
444330,,,33,6.5,0.1,,8.84,1,MEDIEVAL,1200,1500,Eden
471804,,,23.9,19.3,0.49,,2.35,1,NEOLITHIC,-4500,-2100,Cornwall
491195,,,18.79,13.82,0.8,,0.7,1,NEOLITHIC,-3500,-2100,Northumberland
429314,,,36.7,12.17,0.93,,3.2,1,UNKNOWN,,,Stafford
52292,,,22,21,1,,1.5,1,NEOLITHIC,-4000,-1500,Medway
787044,,,20,16,1.2,,1.79,1,BRONZE AGE,-1275,-1140,Newark and Sherwood
448681,,,29,32,1.5,,9,1,NEOLITHIC,-2800,-2100,Cornwall
720799,,,29,16,1.5,,2.9,1,MEDIEVAL,-1600,1500,South Northamptonshire
61371,Leaf shaped,,42,24,1.5,,,1,NEOLITHIC,-2500,-2150,Newark and Sherwood
408424,Barbed and tanged,,59.94,14.07,1.73,,2.82,1,MEDIEVAL,1300,1500,Lambeth
471815,,,27.76,15,1.79,,1.25,1,NEOLITHIC,-4500,-2100,Cornwall
184545,Leaf shaped,,26.5,14.8,1.8,,0.96,1,NEOLITHIC,-3500,-2100,North Lincolnshire
435933,,,19.3,13.94,1.82,,0.6,1,NEOLITHIC,-3500,-2800,Northumberland
472377,,,16.3,11.1,1.9,,0.4,1,NEOLITHIC,-2500,-1500,Cornwall
477216,,,12,10,2,,0.32,1,NEOLITHIC,-4500,-2100,Cornwall
501715,,,15,18.5,2,,0.48,1,NEOLITHIC,-2500,-1500,Eden
61370,,,21,23,2,,,1,NEOLITHIC,-2500,-2150,Newark and Sherwood
773686,,,26.84,19.12,2,,2.54,1,BRONZE AGE,-1275,-1140,West Dorset
464858,Transverse,,34,25,2,,,1,NEOLITHIC,-3000,-1000,East Lindsey
183887,Leaf shaped,,40,18,2,,,1,NEOLITHIC,-3500,-2900,North Kesteven
137216,Tanged,,42,28,2,,7.67,1,BRONZE AGE,-2150,-800,Rugby
501854,,,14.24,13.99,2.1,,0.6,1,NEOLITHIC,-3500,-2500,Northumberland
252803,,,16.82,13.59,2.19,,0.38,1,NEOLITHIC,-3500,-1500,Mendip
586723,,,10.7,9.6,2.2,,0.4,1,NEOLITHIC,-4500,-1500,Cornwall
634172,,,13.5,14.7,2.2,,0.33,1,UNKNOWN,-4000,-1000,Calderdale
472107,Flint,,29.7,16.9,2.2,,1.3,1,NEOLITHIC,-3500,-2100,North Lincolnshire
499361,,,18.97,14.7,2.22,,0.7,1,NEOLITHIC,-3500,-1500,Lichfield
512204,triangular,,20.84,22.67,2.23,,1.3,1,NEOLITHIC,-2900,-2100,West Lindsey
709594,,,14.2,18.3,2.3,,0.32,1,UNKNOWN,-4000,-1000,Calderdale
65241,leaf-shaped,,21,14.5,2.3,,,1,NEOLITHIC,,,Forest of Dean
487173,,,31.74,17.07,2.3,,3.9,1,BRONZE AGE,-1500,-800,Vale of White Horse
595655,,,41.85,20.45,2.3,,5.03,1,BRONZE AGE,-1275,-1140,Wiltshire
287776,,,16.09,16.36,2.31,,0.6,1,NEOLITHIC,-3500,-1500,Rugby
495916,,,28.01,19.91,2.34,,1.8,1,NEOLITHIC,-4500,-700,Scarborough
474491,Oblique,,23.1,17.2,2.4,,1.64,1,NEOLITHIC,-3300,-2200,Cornwall
457806,Oblique,,28.3,16.8,2.41,,1.2,1,NEOLITHIC,-3300,-2100,Chelmsford
287798,,,17.2,23.36,2.5,,1.3,1,NEOLITHIC,-3500,-2900,Rugby
112378,,,18,12,2.5,,0.66,1,NEOLITHIC,-3500,-2900,Swindon
112409,,,20,23,2.5,,1.59,1,NEOLITHIC,-3500,-2100,Swindon
480869,,,23.9,19.3,2.5,,1,1,NEOLITHIC,-3500,-2100,Hambleton
838091,Leaf shaped,,24,16,2.5,,1.16,1,NEOLITHIC,-4000,-2200,Forest of Dean
161903,Transverse,,35,29,2.5,,,1,NEOLITHIC,-4000,-1800,North Kesteven
495876,Leaf-shaped,,39,28,2.5,,2.43,1,NEOLITHIC,,,South Hams
212964,Leaf shaped,,40,25,2.5,,,1,NEOLITHIC,-4000,-2000,North Kesteven
722745,,,47.4,13,2.5,,1.85,1,MEDIEVAL,1100,1400,Wiltshire
246311,leaf shaped,,18.34,19.03,2.52,,1.06,1,NEOLITHIC,-3500,-2900,Rotherham
274703,leaf-shaped,,21.72,15.69,2.52,,,1,NEOLITHIC,-3500,-2900,West Lindsey
395502,,,17.31,12.67,2.55,,0.6,1,MESOLITHIC,-8300,-2500,County of Herefordshire
72288,Barbed and tanged,,39.76,19.82,2.56,,5.1,1,BRONZE AGE,-1275,-1140,Uttlesford
44818,leafshaped,,27.63,16.35,2.57,,1.17,1,NEOLITHIC,-4000,-2200,Daventry
45909,leaf shaped,,30.05,16.43,2.57,,1.2,1,NEOLITHIC,-3500,-2200,Daventry
786072,,,18.39,11.1,2.58,,0.4,1,BRONZE AGE,-2350,-800,Northumberland
501990,,,26.24,19.05,2.58,,1,1,NEOLITHIC,2100,1500,North Kesteven
501939,,,14.7,8.9,2.6,,0.69,1,NEOLITHIC,-3500,-2100,North Lincolnshire
475728,,,15.2,13.9,2.6,,0.65,1,NEOLITHIC,-4500,-2500,Cornwall
475472,Oblique,,17.1,13,2.6,,1.07,1,NEOLITHIC,-2500,-2100,Cornwall
